ID,Task name,Status,Tags,Assignee,Due
93,Демо проекта на микросервисах с очередями,Архив,Infrastructure,Alexey Serikov,
76,Добавить даты в миграции через алембик,Архив,Refactoring,Alexey Serikov,
62,Сделать общий конфиг,Архив,Refactoring,Alexey Serikov,
61,Добавить линтер,Архив,Refactoring,Alexey Serikov,
55,Обновить PyYAML и исправить проблему с кешем(healthy_check.py),Архив,Bug,Alexey Serikov,"February 6, 2024"
31,Синхронизация Участие через API Coda,Разработка,Updater,Alexey Serikov,
14,Плагин Coda для Участия,Отложено,Coda,Alexey Serikov,"February 20, 2024 → February 24, 2024"
97,Связь бейджей и направлений через M2M,Разработка,ORM,Anton Volchanskyi,
129,Простое управление стендом,Отложено,Infrastructure,Denis Nazarov,
128,Сделать доступ к БД,Готово,Infrastructure,Denis Nazarov,
94,Создание тестового стенда для основного приложения,Готово,Infrastructure,Denis Nazarov,
113,Добавить во все модели и миграции дату изменений,Готово,ORM,Megorlova,
99,Репозиторий Участие,Разработка,ORM,Megorlova,
89,Endpoint Участие,Разработка,ORM,Megorlova,
88,ORM модель Участие,Готово,ORM,Megorlova,
11,Сущность Участие,Разработка,ORM,Megorlova,"February 10, 2024 → February 14, 2024"
121,Временная захордкоренная версия для оргов,Разработка,Bot promocode,Wotori Movako,
104,Enpoint Направления,Готово,,Wotori Movako,
71,Подписка на уведомления из бота,Code review,Bot admin,Wotori Movako,
38,"Бот управления ",Тестирование,Bot admin,Wotori Movako,"March 10, 2024 → March 14, 2024"
35,Доработка бота промокодов,Тестирование,Bot promocode,Wotori Movako,
33,Односторонняя синхронизация Участия из БД в Notion,Разработка,Updater,Wotori Movako,"March 14, 2024 → March 18, 2024"
12,Регулярные обновления Человеков из Notion,Готово,Updater,Wotori Movako,"February 16, 2024 → February 20, 2024"
9,Сущность Человеки,Архив,ORM,Wotori Movako,"February 10, 2024 → February 14, 2024"
7,Создать модель БД для Базы контактов (Человеков),Архив,,Wotori Movako,"February 7, 2024 → February 9, 2024"
6,Регулярное обновления Направлений из Notion,Готово,Updater,Wotori Movako,"February 12, 2024 → February 16, 2024"
5,Сущность Направления,Архив,API,Wotori Movako,"February 12, 2024 → February 16, 2024"
4,Создать модель БД для Служб и локаций,Архив,,Wotori Movako,"February 7, 2024 → February 9, 2024"
73,Удалить миграции без даты,Архив,Infrastructure,"Wotori Movako, Alexey Serikov",
103,Репозиторий Бейдж,Готово,,Андрей Денисов,
102,Endpoint Бейдж,Готово,,Андрей Денисов,
17,Сущность Бейдж,Готово,ORM,Андрей Денисов,"February 15, 2024 → February 19, 2024"
131,Добавить доп. справочник в Заезды,Разработка,ORM,Игорь Лямин,
125,Дополнение модели Заездов,Готово,ORM,Игорь Лямин,
112,"Добавить в бота команду для запуска этого скрипта ",Разработка,Updater,Игорь Лямин,
111,"Создание скрипта в апдейтере, который будет забирать данные",Разработка,Updater,Игорь Лямин,
101,Модель Бейдж,Готово,,Игорь Лямин,
100,Репозиторий Заезды,Code review,,Игорь Лямин,
87,ORM модель Заездов,Code review,,Игорь Лямин,
84,Endpoint Заездов,Code review,ORM,Игорь Лямин,
68,Односторонняя синхр. Участия по оргам и замам из Notion в БД,Разработка,Updater,Игорь Лямин,"March 16, 2024 → March 20, 2024"
19,Сущность Заезды,Готово,ORM,Игорь Лямин,"February 20, 2024 → February 24, 2024"
69,Переписать и добавить докер в новый репозиторий,Архив,Infrastructure,Олег Максимов,"February 15, 2024"
134,Безымянные бейджи,Бэклог,,,
133,Поле parent для связей бейджей,Есть Постановка,,,
132,კმაყოფილი ხარ განცხადებაში მითითებული ინფორმაციის სიზუსტით? შეესაბამება სიმართლეს განცხადებაში მითითებული ინფორმაცია?,Not started,,,
130,Синхронизация Заездов с Coda,Есть Постановка,,,
127,Обновление статуса Участия при подтверждении Заезда,Есть Постановка,,,
123,"JS плагин, кнопка для запуска синхронизации Участия",Бэклог,,,
122,Полноценная версия с выборкой из данных Участия,Есть Постановка,Bot promocode,,
120,"Реализовать POST сохранение  ",Есть Постановка,,,
119,Реализовать GET выборку по дате,Есть Постановка,,,
118,Добавить эдпоинт POST и GET с фильтром по дате,Есть Постановка,,,
117,Синхронизация с Кормителем,Есть Постановка,Кормитель,,
110,"Изменить репозитории, добавив GUID",Бэклог,ORM,,
109,"Изменить миграции и модели, добавив GUID",Бэклог,ORM,,
108,"Найти либу для GUID и если нужно, то добавить какую-то обертку",Бэклог,ORM,,
107,Добавить в модели и таблицы идентификатор в формате GUID,Бэклог,ORM,,"March 6, 2024 → March 13, 2024"
106,Блокировать запуск множественных обновлений,Code review,Bot admin,,
105,Модель Направления,Готово,,,
90,Гант-чарт из заездов,Not started,,,
86,GET endpoint Человеков,Готово,ORM,,
85,ORM модель Человеков,Готово,ORM,,
72,Поиск дубликатов при загрузке списка,Есть Постановка,,,
65,Сохранять историю при обновлениях по API,Not started,,,
64,Просмотр истории изменений в Coda,Not started,,,
63,API для истории изменений,Not started,,,
47,Модель(и) для истории изменений,Not started,,,
46,Получение изменений из Кормителя,Not started,,,
43,Забирать Фото из Notion,Есть Постановка,,,"February 26, 2024 → March 1, 2024"
42,Обновить выгрузку бейджей для печати,Бэклог,,,"March 4, 2024 → March 8, 2024"
41,Загружать регулярно обновления Бейджей из Notion,Есть Постановка,,,"February 21, 2024 → February 25, 2024"
40,Заливка фоток в Notion,Есть Постановка,,,
39,Загрузка фоток из Google Docs,Not started,,,
37,Загрузка списком из Google Spreadsheet,Есть Постановка,Excel,,
36,Справочный бот,Not started,,,
34,Выделить интеграцию локаций для портала в отдельный модуль,Not started,,,"February 12, 2024 → February 16, 2024"
32,Синхронизация Участия в Notion при изменении,Бэклог,API,,"March 21, 2024 → March 25, 2024"
30,Разработка плагина  Coda для Участия,Есть Постановка,,,"February 12, 2024 → February 23, 2024"
29,Плагин Coda для Заездов,Отложено,Coda,,"March 4, 2024 → March 8, 2024"
26,Дополнение API обновлений Бейджей для учета Связей,Отложено,,,"March 4, 2024 → March 8, 2024"
25,Дополнение API Человеков и Бейджей для учета Связей,Отложено,,,"March 4, 2024 → March 8, 2024"
24,Модели для Связей Человеков и Бейджей,Отложено,,,"February 26, 2024 → March 1, 2024"
23,Плагин Coda для Фото,Есть Постановка,,,"February 26, 2024 → March 1, 2024"
22,Хранилище для Фото,Есть Постановка,,,"February 20, 2024 → February 24, 2024"
20,API для заездов,Отложено,,,"February 26, 2024 → March 1, 2024"
18,API для Бейджей,Отложено,,,"February 20, 2024 → February 24, 2024"
16,Скрипт загрузки данных Участия за 23 и 24 год из дампа файла Coda,Отложено,"Operation, Updater",,"March 9, 2024 → March 13, 2024"
15,Скрипт загрузки данных Участия за 21 и 22 год из Notion,Бэклог,"Operation, Updater",,"March 9, 2024 → March 13, 2024"
13,API для Участия,Отложено,Coda,,"February 15, 2024 → February 19, 2024"
